Value,SearchText
utility:activity,ball
utility:ad_set,
utility:add_above,add addition plus
utility:add_below,add addition plus
utility:add_source,add source merge
utility:add,add plus
utility:adduser,add plus user
utility:adjust_value,adjust edit value money currency pencil
utility:advanced_function,
utility:advertising,
utility:agent_home,
utility:agent_session,
utility:aggregate,
utility:aggregation_policy,
utility:alert,
utility:all,
utility:anchor,
utility:angle,
utility:animal_and_nature,
utility:announcement,
utility:answer,
utility:answered_twice,
utility:anywhere_alert,
utility:anywhere_chat,
utility:apex_alt,
utility:apex_plugin,
utility:apex,
utility:app_web_messaging,
utility:approval,
utility:apps,
utility:archive,
utility:array,
utility:arrow_bottom,
utility:arrow_left,
utility:arrow_right,
utility:arrow_top,
utility:arrowdown,
utility:arrowup,
utility:asset_audit,
utility:asset_object,
utility:asset_repossessed,
utility:asset_warranty,
utility:assignment,
utility:attach,
utility:automate,
utility:away,
utility:back,
utility:ban,
utility:block_visitor,
utility:bold,
utility:bookmark_alt,
utility:bookmark_stroke,
utility:bookmark,
utility:bottom_align,
utility:bottom_group_alignment,
utility:breadcrumbs,
utility:broadcast,
utility:brush,
utility:bucket,
utility:budget_category_value,
utility:budget_period,
utility:bug,
utility:builder,
utility:bundle_config,
utility:bundle_policy,
utility:button_choice,
utility:buyer_group_qualifier,
utility:calculated_insights,
utility:call,
utility:campaign,
utility:cancel_file_request,
utility:cancel_transfer,
utility:cant_sync,
utility:capacity_plan,
utility:capslock,
utility:captions,
utility:card_details,
utility:cart,
utility:case,
utility:cases,
utility:center_align_text,
utility:center_align,
utility:center_group_alignment,
utility:change_owner,
utility:change_record_type,
utility:change_request,
utility:chart,
utility:chat,
utility:check,
utility:checkin,
utility:checkout,
utility:chevrondown,
utility:chevronleft,
utility:chevronright,
utility:chevronup,
utility:choice,
utility:circle,
utility:classic_interface,
utility:clear,
utility:clock,
utility:close,
utility:cms,
utility:collapse_all,
utility:collection_alt,
utility:collection_variable,
utility:collection,
utility:color_swatch,
utility:columns,
utility:comments,
utility:company,
utility:component_customization,
utility:connected_apps,
utility:constant,
utility:contact_request,
utility:contact,
utility:contactless_pay,
utility:contract_alt,
utility:contract_doc,
utility:contract_line_outcome_data,
utility:contract_line_outcome,
utility:contract_payment,
utility:contract,
utility:copy_to_clipboard,
utility:copy,
utility:coupon_codes,
utility:crossfilter,
utility:currency_input,
utility:currency,
utility:custom_apps,
utility:customer_workspace,
utility:customer,
utility:cut,
utility:dash,
utility:data_cloud,
utility:data_graph,
utility:data_mapping,
utility:data_model,
utility:data_transforms,
utility:database,
utility:datadotcom,
utility:date_input,
utility:date_time,
utility:dayview,
utility:delete,
utility:deprecate,
utility:description,
utility:desktop_and_phone,
utility:desktop_console,
utility:desktop,
utility:detach,
utility:dialing,
utility:diamond,
utility:discounts,
utility:dislike,
utility:display_rich_text,
utility:display_text,
utility:dock_panel,
utility:document_preview,
utility:down,
utility:download,
utility:drag_and_drop,
utility:drag,
utility:duration_downscale,
utility:dynamic_record_choice,
utility:edit_form,
utility:edit_gpt,
utility:edit,
utility:education,
utility:einstein_alt,
utility:einstein,
utility:email_open,
utility:email,
utility:emoji,
utility:end_call,
utility:end_chat,
utility:end_messaging_session,
utility:engage,
utility:enter,
utility:entitlement,
utility:erect_window,
utility:error,
utility:event_ext,
utility:event,
utility:events,
utility:expand_all,
utility:expand_alt,
utility:expand,
utility:expired,
utility:fallback,
utility:favorite_alt,
utility:favorite,
utility:feed,
utility:field_sales,
utility:file,
utility:filter_criteria_rule,
utility:filter_criteria,
utility:filter,
utility:filterlist,
utility:flow_alt,
utility:flow,
utility:food_and_drink,
utility:form,
utility:format,
utility:formula,
utility:forward_up,
utility:forward,
utility:freeze_column,
utility:frozen,
utility:fulfillment_order,
utility:full_width_view,
utility:fully_synced,
utility:funding_award_adjustment,
utility:funding_requirement,
utility:global_constant,
utility:graph,
utility:groups,
utility:guidance,
utility:hazmat_equipment,
utility:heart,
utility:height,
utility:help_center,
utility:help_doc_ext,
utility:help,
utility:hide_mobile,
utility:hide,
utility:hierarchy,
utility:high_velocity_sales,
utility:highlight,
utility:holiday_operating_hours,
utility:home,
utility:hourglass,
utility:http,
utility:identity,
utility:image,
utility:in_app_assistant,
utility:inbox,
utility:incident,
utility:incoming_call,
utility:indicator_performance_period,
utility:info_alt,
utility:info,
utility:inner_join,
utility:insert_tag_field,
utility:insert_template,
utility:inspector_panel,
utility:integration,
utility:internal_share,
utility:italic,
utility:join,
utility:jump_to_bottom,
utility:jump_to_left,
utility:jump_to_right,
utility:jump_to_top,
utility:justify_text,
utility:kanban,
utility:key_dates,
utility:key,
utility:keyboard_dismiss,
utility:keypad,
utility:knowledge_base,
utility:knowledge_smart_link,
utility:label,
utility:labels,
utility:layers,
utility:layout_banner,
utility:layout_card,
utility:layout_overlap,
utility:layout_tile,
utility:layout,
utility:lead,
utility:leave_conference,
utility:left_align_text,
utility:left_align,
utility:left_join,
utility:left,
utility:level_down,
utility:level_up,
utility:light_bulb,
utility:lightning_extension,
utility:lightning_inspector,
utility:like,
utility:line_chart,
utility:link,
utility:linked,
utility:list,
utility:listen,
utility:live_message,
utility:location_permit,
utility:location,
utility:lock,
utility:locked_with_additions,
utility:locker_service_api_viewer,
utility:locker_service_console,
utility:log_a_call,
utility:logout,
utility:loop,
utility:lower_flag,
utility:macros,
utility:magicwand,
utility:maintenance_plan,
utility:mark_all_as_read,
utility:market,
utility:matrix,
utility:meet_content_source,
utility:meet_focus_content,
utility:meet_focus_equal,
utility:meet_focus_presenter,
utility:meet_present_panel,
utility:merge_field,
utility:merge,
utility:metrics,
utility:middle_align,
utility:minimize_window,
utility:missed_call,
utility:mixed_sources_mapping,
utility:money,
utility:moneybag,
utility:monthlyview,
utility:more,
utility:move,
utility:mulesoft,
utility:multi_picklist,
utility:multi_select_checkbox,
utility:muted,
utility:new_direct_message,
utility:new_window,
utility:new,
utility:news,
utility:no_return,
utility:not_in_sync,
utility:not_saved,
utility:note,
utility:notebook,
utility:notification_off,
utility:notification_snoozed,
utility:notification,
utility:number_input,
utility:office365,
utility:offline_briefcase,
utility:offline_cached,
utility:offline,
utility:omni_channel,
utility:open_folder,
utility:open,
utility:opened_folder,
utility:opportunity,
utility:orchestrator,
utility:orders,
utility:org_chart,
utility:outbound_call,
utility:outcome,
utility:outer_join,
utility:output,
utility:overflow,
utility:package_org_beta,
utility:package_org,
utility:package,
utility:page_structure,
utility:page,
utility:palette,
utility:password,
utility:paste,
utility:path_experiment,
utility:pause_alt,
utility:pause,
utility:payment_deferred,
utility:payment_gateway,
utility:pdf_ext,
utility:people,
utility:percent,
utility:phone_landscape,
utility:phone_portrait,
utility:photo,
utility:picklist_choice,
utility:picklist_type,
utility:picklist,
utility:pin,
utility:pinned,
utility:plane,
utility:planning_poker,
utility:play,
utility:podcast_webinar,
utility:pop_in,
utility:power,
utility:preview,
utility:price_book_entries,
utility:price_books,
utility:pricing_workspace,
utility:print,
utility:priority,
utility:privately_shared,
utility:problem,
utility:process,
utility:product_consumed_state,
utility:product_quantity_rules,
utility:product_service_campaign_item,
utility:product_service_campaign,
utility:product_transfer_state,
utility:product_transfer,
utility:product_warranty_term,
utility:product_workspace,
utility:product,
utility:products,
utility:profile_alt,
utility:profile,
utility:program_cohort_member,
utility:program_cohort,
utility:promotion_segments,
utility:promotion_tiers,
utility:promotions_workspace,
utility:promotions,
utility:prompt_builder,
utility:prompt_edit,
utility:prompt,
utility:propagation_policy,
utility:proposition,
utility:push,
utility:puzzle,
utility:qualifications,
utility:question_mark,
utility:question,
utility:questions_and_answers,
utility:queue,
utility:quick_text,
utility:quip,
utility:quotation_marks,
utility:quote,
utility:radio_button,
utility:rating,
utility:real_time,
utility:reassign,
utility:recipe,
utility:record_alt,
utility:record_collection,
utility:record_consent,
utility:record_create,
utility:record_delete,
utility:record_lookup,
utility:record_update,
utility:record,
utility:recurring_exception,
utility:recycle_bin_empty,
utility:recycle_bin_full,
utility:redo,
utility:refresh,
utility:relate,
utility:reminder,
utility:remove_formatting,
utility:remove_link,
utility:replace,
utility:replay,
utility:reply_all,
utility:reply,
utility:report_issue,
utility:reset_password,
utility:resource_absence,
utility:resource_capacity,
utility:resource_territory,
utility:restriction_policy,
utility:retail_execution,
utility:retweet,
utility:ribbon,
utility:richtextbulletedlist,
utility:richtextindent,
utility:richtextnumberedlist,
utility:richtextoutdent,
utility:right_align_text,
utility:right_align,
utility:right_join,
utility:right,
utility:robot,
utility:rotate,
utility:routing_offline,
utility:rows,
